id,title,genres,release_year,popularity,poster_url,combined_features
84174,Bachelorette,Comedy Romance,2012,20.95282,,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school. Comedy Romance bridesmaid strip club female friendship reunion drug use wedding wedding dress childhood friends woman director bachelorette party bitch fat woman Kirsten Dunst Isla Fisher Lizzy Caplan Rebel Wilson Adam Scott Leslye Headland
82703,Mr. Peabody & Sherman,Animation Adventure Family,2014,38.73494,,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed. Animation Adventure Family father son relationship egypt intelligence adoption time travel boy child prodigy friendship growing up children talking animal talking dog dog first love ancient egypt time traveler duringcreditsstinger new school george washington gags trouble time paradox prodigy Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper Rob Minkoff"
10776,Little Shop of Horrors,Horror Comedy Music,1986,12.113235,,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper. Horror Comedy Music flower solar eclipse florist assistant plants success aggression by plant investigation nerd blonde carnivorous plant remake crush based on play motorcycle eclipse part animated dentist bum killer plant based on stage musical skid row based on film plant food flesh eating plant inept assistant cult classic man eating plant Rick Moranis Ellen Greene Vincent Gardenia Steve Martin Tisha Campbell-Martin Frank Oz"
6073,The Mexican,Action Comedy Crime Romance,2001,21.021809,,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border. Action Comedy Crime Romance kidnapping pistol Brad Pitt Julia Roberts James Gandolfini J.K. Simmons Gene Hackman Gore Verbinski"
26039,Point Blank,Action Crime Drama Thriller,1967,5.164423,,"After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him. Action Crime Drama Thriller alcatraz revenge organized crime Lee Marvin Angie Dickinson Keenan Wynn Carroll O'Connor Lloyd Bochner John Boorman"
18869,Jimmy and Judy,Action Crime Drama Thriller,2006,1.255771,,Two misunderstood suburban kids challenge society and run from the police while documenting all of their deeds with a digital camera. Action Crime Drama Thriller police revenge independent film video camera on the run Edward Furlong Rachael Bella William Sadler Randall Rubin Jon Schroder
2977,Becoming Jane,Drama Romance,2007,18.236284,,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman. Drama Romance england judge irland new love empowerment country life future letter law lovers creativity sister author family Anne Hathaway James McAvoy Julie Walters James Cromwell Maggie Smith Julian Jarrold
19366,Josie and the Pussycats,Comedy Music,2001,6.404571,,"Josie, Melody and Val are three small-town girl musicians determined to take their rock band out of their garage and straight to the top, while remaining true to their look, style and sound. They get a record deal which brings fame and fortune but soon realize they are pawns of two people who want to control the youth of America. They must clear their names, even if it means losing fame and fortune. Comedy Music manager pop secret small town garage musician music friendship industry fame conspiracy subliminal  rock band culture woman director messages fortune record deal popular pawns Rachael Leigh Cook Rosario Dawson Tara Reid Gabriel Mann Alan Cumming Deborah Kaplan Harry Elfont"
18713,The Jerky Boys,Comedy Crime,1995,1.735462,,"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't long before Johnny and Kamal (the ""Jerky Boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor. Comedy Crime new york telephone joke gangster John G. Brennan Kamal Ahmed Alan Arkin William Hickey Vincent Pastore James Melkonian"
9335,Transporter 2,Action Thriller Crime,2005,47.5612,,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers. Action Thriller Crime martial arts war on drugs kidnapping bodyguard baby-snatching Jason Statham Amber Valletta Kate Nauta Alessandro Gassman François Berléand Louis Leterrier"
53256,Drei,Romance Drama Comedy,2010,5.937602,,"Hanna and Simon are in a 20 year marriage with an unexiting relationship. By chance, they both meet and start separate affairs with Adam. Adam has no idea that his two lovers are married, until they are all found out when Hanna becomes pregnant, with the natural doubts stemming from their situation. Romance Drama Comedy sex bisexual science Sophie Rois Sebastian Schipper Devid Striesow Annedore Kleist Alexander Hörbe Tom Tykwer"
23082,The Invention of Lying,Comedy Romance Fantasy,2009,16.665841,,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead. Comedy Romance Fantasy  Ricky Gervais Jennifer Garner Jonah Hill Louis C.K. Jeffrey Tambor Ricky Gervais Matthew Robinson"
325140,Hum To Mohabbat Karega,,2000,0.001186,,"Raju, a waiter, is in love with the famous TV reporter Greeta Kapoor. After a man is murdered, Kapoor shows up at Raju's door to ask him some questions - it turns out that Raju served the dead man his last supper, and the authorities hope that he might be able to help them. Raju lies and says that he was an eye witness, in order to spend more time with Kapoor. He gives the police a false description of the killer, but it matches his best friend Kutti, so soon Kutti is wanted by the police, and the Mafia, who is responsible for the killing, is after Raju.    "
8847,Standard Operating Procedure,Documentary,2008,0.888986,,Errol Morris examines the incidents of abuse and torture of suspected terrorists at the hands of U.S. forces at the Abu Ghraib prison. Documentary prison prisoner jail guard prison cell bagdad iraq photography detention camp torture soldier humiliation Javal Davis Ken Davis Tony Diaz Tim Dugan Lynndie England Errol Morris
12245,The Oxford Murders,Crime Mystery Thriller,2008,9.318033,,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols Crime Mystery Thriller mathematician mathematics oxford symbol triangle mass child killing Elijah Wood John Hurt Leonor Watling Julie Cox Jim Carter Álex de la Iglesia"
10781,The Texas Chainsaw Massacre: The Beginning,Horror,2006,21.380635,,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror. Horror mass murder planned murder chain saw sadism knife psychopath prequel murder gore serial killer blood leatherface slaughterhouse slasher chainsaw torture cruelty series of murders violence cannibal severed foot severed hand Jordana Brewster Taylor Handley Diora Baird Matt Bomer R. Lee Ermey Jonathan Liebesman"
227735,Dolphin Tale 2,Family Drama,2014,6.967857,,The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital. Family Drama dolphin aquarium swimming Morgan Freeman Ashley Judd Nathan Gamble Cozi Zuehlsdorff Harry Connick Jr. Charles Martin Smith
12586,Bella,Drama Romance,2006,1.814802,,"An international soccer star is on his way to sign a multimillion dollar contract when something happens that brings his career to an abrupt end. A beautiful waitress, struggling to make it in New York City, discovers something about herself that she's unprepared for. In one irreversible moment, their lives are turned upside down. Drama Romance waitress beach independent film soccer girl chance meeting flashback Tammy Blanchard Angélica Aragón Ali Landry Jaime Tirelli Manny Pérez Alejandro Monteverde"
10914,All Hat,Action Comedy Drama Western,2007,0.137535,,"An ex-con returns to his rural Ontario roots and outwits a corrupt and wealthy thoroughbred owner trying to take over a slew of local farms. Ray Dokes, a charming ex-ballplayer, returns from jail to discover the rural landscape of his childhood transformed by urban development. Determined to stay out of trouble, Ray heads to the farm of his old friend Pete Culpepper, a crusty Texas cowboy who trains losing racehorses and whose debts are growing faster than his corn. Action Comedy Drama Western indian territory horse ranch stetson urbanisierung best friend Rachael Leigh Cook Luke Kirby Keith Carradine Lisa Ray Graham Greene Leonard Farlinger"
37821,Killers,Action Comedy Thriller Romance,2010,23.004607,,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life. Action Comedy Thriller Romance assassin Katherine Heigl Ashton Kutcher Tom Selleck Catherine O'Hara Alex Borstein Robert Luketic"
4958,The Legend of Bagger Vance,Fantasy Drama,2000,16.848899,,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance. Fantasy Drama competition world war i great depression caddy savannah Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch Robert Redford"
44945,Trust,Crime Drama Thriller,2010,21.230737,,"A suburban family is torn apart when fourteen-year-old Annie meets her first boyfriend online. After months of communicating via online chat and phone, Annie discovers her friend is not who he originally claimed to be. Shocked into disbelief, her parents are shattered by their daughter's actions and struggle to support her as she comes to terms with what has happened to her once innocent life. Crime Drama Thriller rape obsession lie job independent film teenage girl school internet best friend counselor internet chat duringcreditsstinger online chat catfishing online hookup online predator Clive Owen Catherine Keener Liana Liberato Jason Clarke Viola Davis David Schwimmer"
14538,三国之见龙卸甲,Action History Drama,2008,4.127155,,"The aging Zhao embarks on his final and greatest campaign, a road to adventure that will crown his name in glory for all time. Action History Drama warrior woman number in title Sammo Hung Vanness Wu Maggie Q Andy Lau Ti Lung Daniel Lee"
20862,Smoke Signals,Drama Comedy,1998,2.304552,,"Young Indian man Thomas is a nerd in his reservation, wearing oversize glasses and telling everyone stories no-one wants to hear. His parents died in a fire in 1976, and Thomas was saved by Arnold. Arnold soon left his family, and Victor hasn't seen his father for 10 years. When Victor hears Arnold has died, Thomas offers him funding for the trip to get Arnold's remains Drama Comedy  Adam Beach Evan Adams Irene Bedard Gary Farmer Tantoo Cardinal Chris Eyre"
11812,The Sweetest Thing,Romance Comedy,2002,18.65632,,"Christina's love life is stuck in neutral. After years of avoiding the hazards of a meaningful relationship, one night while club-hopping with her girlfriends, she meets Peter, her perfect match. Fed up with playing games, she finally gets the courage to let her guard down and follow her heart, only to discover that Peter has suddenly left town. Accompanied by Courtney, she sets out to capture the one that got away. Romance Comedy roommate marriage aftercreditsstinger duringcreditsstinger Cameron Diaz Christina Applegate Thomas Jane Selma Blair Jason Bateman Roger Kumble"
2067,Mission to Mars,Science Fiction,2000,16.058284,,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate. Science Fiction mars spacecraft space travel alien long take outer space astronaut dismemberment alien contact trapped in space Gary Sinise Tim Robbins Don Cheadle Connie Nielsen Jerry O'Connell Brian De Palma"
16110,Thomas and the Magic Railroad,Animation Drama Family Science Fiction,2000,1.916351,,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lily and her morose grandfather, plus the secret engine. Animation Drama Family Science Fiction  Alec Baldwin Peter Fonda Mara Wilson Britt Allcroft"
16558,Duplicity,Romance Comedy Crime,2009,13.630049,,Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together. Romance Comedy Crime spy Clive Owen Julia Roberts Paul Giamatti Tom Wilkinson Lisa Roberts Gillan Tony Gilroy
848,Dragonslayer,Fantasy,1981,3.258422,,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time. Fantasy secret identity self sacrifice magic virgin solar eclipse sacrifice sorcerer's apprentice amulet lottery brood egg princess sorcerer human sacrifice dragon hidden identity crossdressing landslide sword and sorcery Peter MacNicol Caitlin Clarke Ralph Richardson John Hallam Peter Eyre Matthew Robbins
43923,It's Kind of a Funny Story,Comedy Drama,2010,13.143045,,A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward. Comedy Drama suicide depression independent film coming of age teen movie teenager psychiatric ward woman director based on young adult novel Keir Gilchrist Emma Roberts Zach Galifianakis Viola Davis Zoë Kravitz Ryan Fleck Anna Boden
155,The Dark Knight,Drama Action Crime Thriller,2008,187.322927,,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker. Drama Action Crime Thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal Christopher Nolan"
11004,Wonder Boys,Comedy Drama,2000,9.011729,,"Grady (Michael Douglas) is a 50-ish English professor who hasn't had a thing published in years -- not since he wrote his award winning ""Great American Novel"" 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author. Comedy Drama adultery robbery based on novel professor college police party liar marijuana writer university drug dog Michael Douglas Tobey Maguire Frances McDormand Katie Holmes Rip Torn Curtis Hanson"
22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,2003,271.972889,,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple. Adventure Fantasy Action exotic island blacksmith east india trading company gold marriage proposal mutiny jamaica skeleton daughter governor wooden eye gold coin pirate alcoholic swashbuckler caribbean aftercreditsstinger pirate ship capuchin monkey tortuga Johnny Depp Geoffrey Rush Orlando Bloom Keira Knightley Jack Davenport Gore Verbinski"
1997,Deux frères,Adventure Drama Family,2004,8.884318,,"Two tigers are separated as cubs and taken into captivity, only to be reunited years later as enemies by an explorer (Pearce) who inadvertently forces them to fight each other. Adventure Drama Family brother brother relationship loss of brother cambodia chase tiger governor royalty travelling circus archaeologist Maï Anh Le Guy Pearce Oanh Nguyen Jaran 'See Tao' Petcharoen Stéphanie Lagarde Jean-Jacques Annaud"
1429,25th Hour,Crime Drama,2002,30.196039,,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint. Crime Drama prison prisoner dream drug dealer nightclub american dream male friendship melancholy girlfriend friendship aftercreditsstinger Edward Norton Philip Seymour Hoffman Barry Pepper Rosario Dawson Anna Paquin Spike Lee"
17287,Poultrygeist: Night of the Chicken Dead,Horror Comedy,2006,3.905877,,"Humans... the other white meat... Unless you're black, then it's dark meat... Or if you are Asian, then it's yellow meat... Or if you are Native American, it's red meat... Horror Comedy musical zombie Jason Yachanin Kate Graham Allyson Sereboff Robin L. Watkins Joshua Olatunde Lloyd Kaufman"
1880,Red Dawn,Action Thriller,1984,11.743085,,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them. Action Thriller guerrilla colorado invasion anti-communism near future red army Patrick Swayze C. Thomas Howell Lea Thompson Darren Dalton Charlie Sheen John Milius"
32740,कृष,Action Science Fiction,2006,3.759988,,"Krishna (Roshan) is born with magical powers - a legacy from his father. Priya (Chopra) comes into his life and becomes his world. When she beckons him to Singapore, he follows. In Singapore, Dr. Siddhant Arya (Shah), the megalomaniac scientist is on the verge of changing the future forever. Only one man stands between Dr. Siddharth Arya and his destructive dreams. To block his ruthless ambitions -- Krishna must become Krrish. Action Science Fiction  Hrithik Roshan Naseeruddin Shah Priyanka Chopra Rekha Sharat Saxena Rakesh Roshan"
2959,License to Wed,Comedy,2007,14.503568,,"Newly engaged, Ben and Sadie can't wait to start their life together and live happily ever after. However Sadie's family church's Reverend Frank won't bless their union until they pass his patented, ""foolproof"" marriage prep course consisting of outrageous classes, outlandish homework assignments and some outright invasion of privacy. Comedy new love ten commandments bride bridegroom marriage relation partnership civil registry office priest wedding church Robin Williams Mandy Moore John Krasinski Eric Christian Olsen Christine Taylor Ken Kwapis"
266102,Desert Dancer,Drama,2014,1.972668,,"Inspirational true story of Iranian dancer Afshin Ghaffarian, who risked his life for his dream to become a dancer despite a nationwide dancing ban. Drama dance ban from profession biography iran oppression tehran iran Freida Pinto Reece Ritchie Tom Cullen Nazanin Boniadi Marama Corlett Richard Raymond"
141,Donnie Darko,Fantasy Drama Mystery,2001,61.210016,,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes. Fantasy Drama Mystery parents kids relationship airplane time travel school presentation school performance suburbia vision morality teenager Jake Gyllenhaal Jena Malone Patrick Swayze Maggie Gyllenhaal Drew Barrymore Richard Kelly"
57022,Sunshine State,Drama,2002,4.245123,,"A woman and her new husband returns to her hometown roots in coastal northern Florida, and must deal with family, business, and encroaching real estate development. Drama independent film Alan King Angela Bassett Timothy Hutton Mary Steenburgen Clifton James John Sayles"
13922,The Great Raid,Action History War,2005,8.923215,,"As World War II rages, the elite Sixth Ranger Battalion is given a mission of heroic proportions: push 30 miles behind enemy lines and liberate over 500 American prisoners of war. Action History War based on novel world war ii prisoners of war narration archive footage rescue mission soldier 1940s inspired by true events fictionalized history Benjamin Bratt James Franco Connie Nielsen Marton Csokas Joseph Fiennes John Dahl"
258755,A escondidas,Romance Drama,2014,1.233688,,"At the age of 14 the world around you changes at a dizzying speed. But what if actually it's you that changing? What if these changes take you away from what up until now, has been your world? Ibrahim and Rafa are going to suffer these changes for themselves, experiencing first love in a way they never could have imagined. And having to keep it Hidden away. Romance Drama  Germán Alcarazu Adil Koukouh Ana Wagener Alex Angulo Mikel Rueda"
266857,The Work and The Story,Comedy,2003,0.002388,,"It is July, 2000 Richard Dutcher, the man who pioneered ""Mormon Cinema"" with his film ""God's Army"" is missing and presumed dead. Three amateur Mormon Filmmakers: Judy Shumway, Peter Beuhmann and Kevin Evans individually set out to make their first feature-length films to take Dutcher's place as the next ""Mormon Spielberg"". Who will win? Who will lose? Who will find Richard? And does everyone want Richard found? Comedy  Kirby Heyborne Christopher Robin Miller Eric Artell Nathan Smith Jones"
562,Die Hard,Action Thriller,1988,66.169628,,"NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down. Action Thriller helicopter journalist based on novel terrorist skyscraper christmas party s.w.a.t. hostage kidnapping vault fistfight murder heist shootout los angeles one man army explosion violence fbi agent walkie talkie christmas eve elevator shaft one night action hero Bruce Willis Alan Rickman Alexander Godunov Bonnie Bedelia Reginald VelJohnson John McTiernan"
36047,The In Crowd,Thriller,2000,0.249245,,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell. Thriller woman director Susan Ward Lori Heuring Matthew Settle Nathan Bexton Tess Harper Mary Lambert"
82507,Sinister,Horror Thriller Mystery,2012,41.045084,,"Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity. Horror Thriller Mystery drowning pennsylvania child murderer car set on fire murder bag over head massacre power outage hanged man held captive hanging death attic no opening credits super-8 ghost child filmed killing crime novelist Ethan Hawke Juliet Rylance Vincent D'Onofrio James Ransone Fred Dalton Thompson Scott Derrickson"
37206,A Shine of Rainbows,Drama Family,2009,12.099486,,"An orphaned boy named Tomás is adopted by Maire O’Donnell to live on a whimsical Irish isle filled with new friends, secret caves and a lost baby pup seal stranded on the coast. But when Maire's reluctant husband Alec refuses to accept Tomás as his own son, the boy drifts down a fateful path of adventure and self-discovery, illuminating how rainbows can shine around - and within - us all. Drama Family orphan rainbow Connie Nielsen Aidan Quinn John Bell Tara Alice Scully Niamh Shaw Vic Sarin"
7913,Rang De Basanti,Drama,2006,5.206967,,"A young idealistic English filmmaker, Sue, arrives in India to make a film on Indian revolutionaries Bhagat Singh, Chandrashekhar Azad and their contemporaries and their fight for freedom from the British Raj. Owing to a lack of funds, she recruits students from Delhi University to act in her docu-drama. She finds DJ, who passed out five years back but still wants to be a part of the University because he doesn't think there's too much out there in the real world to look forward to. Karan, the son of Industrialist Rajnath Singhania, who shares an uncomfortable relationship with his father, but continues to live off him, albeit very grudgingly. Aslam, is a middle class Muslim boy, who lives in the by-lanes near Jama Masjid, poet, philosopher and guide to his friends. Sukhi, the group's baby, innocent, vulnerable and with a weakness for only one thing - girls. Laxman Pandey... Drama new delhi india students' movement war of independence student celebration Aamir Khan Soha Ali Khan Alice Patten Sharman Joshi Kunal Kapoor Rakeysh Omprakash Mehra"
2085,Romeo Must Die,Action Crime Thriller,2000,19.750059,,"Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang SIng and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse! Action Crime Thriller martial arts hip-hop oakland asian asian man asian lead Jet Li Aaliyah Isaiah Washington Russell Wong DMX Andrzej Bartkowiak"
380097,America Is Still the Place,,0,0.0,,"1971 post civil rights San Francisco seemed like the perfect place for a black Korean War veteran and his family to realize their dream of economic independence and his own chance to be his a ""boss"". Charlie Walker would soon find out how naive he was. In a city full of impostors and naysayers, he refused to take ""No"" for an answer. Until a catastrophic disaster opened a door that had never been open to a black man before. This is a story about what happened when he stepped through that door, with both feet!.    "
11162,The Merchant of Venice,Drama Romance,2004,12.467267,,"In 16th century Venice, when a merchant must default on a large loan from an abused Jewish moneylender for a friend with romantic ambitions, the bitterly vengeful creditor demands a gruesome payment instead. Drama Romance venice shakespeare jew ship salesperson meat money suitor falling in love credit 16th century Al Pacino Jeremy Irons Joseph Fiennes Lynn Collins Zuleikha Robinson Michael Radford"
21494,Molière,Romance Drama Comedy,2007,4.61335,,"Molière, a down-and-out actor-cum-playwright up to his ears in debt. When the wealthy Jourdain offers to cover that debt (so that Molière's theatrical talents might help Jourdain win the heart of a certain widowed marquise), hilarity ensues. Romance Drama Comedy playwright Romain Duris Fabrice Luchini Edouard Baer Ludivine Sagnier Laura Morante Laurent Tirard"
225235,Географ глобус пропил,Drama,2013,1.876621,,"Victor Sluzhkin signs on as a teacher of geography in a secondary school in his native Perm (in the Urals) and gets lost in a haze of hard vodka, desperate love for a nymphet-like student and the stress of educating teenagers. Geographer, as the students immediately dub Sluzhkin, attempts to escape from the grueling, dull, stultifying reality of Russia's provincial life in a rafting tour to the Urals. Accompanied by wild, adventure-seeking adolescents, faced with the numerous grim surprises of the nature, Geographer is poised to find himself and his own truth. Drama alcohol adultery river camping province russia wife canoe daughter friendship alcoholism school teaching schoolboy geography kama perm Konstantin Khabenskiy Elena Lyadova Aleksandr Robak Evgeniya Khirivskaya Agrippina Steklova Aleksandr Veledinskiy"
13889,まあだだよ,Drama,1993,2.930853,,"This film tells the story of professor Uehida Hyakken-sama (1889-1971), in Gotemba, around the forties. He was a university professor until an air raid, when he left to become a writer and has to live in a hut. His mood has hardly changed, not by the change nor by time. Drama  Tatsuo Matsumura Kyôko Kagawa Hisashi Igawa George Tokoro Masayuki Yui Akira Kurosawa"
71469,The Darkest Hour,Horror Action Thriller Science Fiction,2011,23.328823,,"In Moscow, five young people lead the charge against an alien race which has attacked Earth via our power supply. Horror Action Thriller Science Fiction alien invasion american abroad moscow unlikely heroes failed business Emile Hirsch Rachael Taylor Olivia Thirlby Joel Kinnaman Max Minghella Chris Gorak"
119283,Parker,Action Crime,2013,28.670477,,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist. Action Crime professional thief jewel robbery Jason Statham Jennifer Lopez Nick Nolte Michael Chiklis Clifton Collins Jr Taylor Hackford"
11228,Daylight,Action Adventure Thriller,1996,16.681269,,A group of armed robbers fleeing the police head for the New Jersey Tunnel and run right into trucks transporting toxic waste. The spectacular explosion that follows results in both ends of the tunnel collapsing and the handful of people who survived the explosion are now in peril. Kit Latura is the only man with the skill and knowledge to lead the band of survivors out of the tunnel before the structure collapses. Action Adventure Thriller taxi new jersey helicopter river hero taxi driver race against time guard survival disaster new york city explosion power outage dog trapped flood tunnel christmas trapped underground action hero Sylvester Stallone Amy Brenneman Viggo Mortensen Dan Hedaya Jay O. Sanders Rob Cohen
88641,There Goes My Baby,Drama Comedy,1994,0.037073,,A group of high school seniors meets in the summer of 1965 and all struggle with the choices they have to make. Drama Comedy  Dermot Mulroney Ricky Schroder Kelli Williams Noah Wyle Lucy Deakins Floyd Mutrux
87093,Big Eyes,Drama,2014,28.570174,,"The story of the awakening of the painter, Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s. Drama wife husband relationship artist court case Amy Adams Christoph Waltz Krysten Ritter Danny Huston Jason Schwartzman Tim Burton"
36334,Deadline - U.S.A.,Crime Drama,1952,0.225627,,"With three days before his paper folds, a crusading editor tries to expose a vicious gangster. Crime Drama  Humphrey Bogart Ethel Barrymore Kim Hunter Ed Begley Warren Stevens Richard Brooks"
9441,Stepmom,Drama Romance,1998,16.368283,,"Jackie is a divorced mother of two. Isabel is the career minded girlfriend of Jackie’s ex-husband Luke, forced into the role of unwelcome stepmother to their children. But when Jackie discovers she is ill, both women realise they must put aside their differences to find a common ground and celebrate life to the fullest, while they have the chance. Drama Romance divorce rebellious daughter freeze frame custody school play photo shoot Julia Roberts Susan Sarandon Ed Harris Jena Malone Liam Aiken Chris Columbus"
42151,Down Terrace,Drama Action Comedy,2009,1.330379,,"After serving jail time for a mysterious crime, Bill and Karl get out of jail and become preoccupied with figuring out who turned them in to the police. On top of that, the ""family business"" is on the rocks, and the motley crew of criminals who operate out of Down Terrace aren't feeling terribly trusting of one another. It might look like an ordinary house, but at Down Terrace, the walls are closing in.. Drama Action Comedy murder dark comedy crime family Robert Hill Robin Hill Julia Deakin David Schaal Tony Way Ben Wheatley"
68718,Django Unchained,Drama Western,2012,82.121691,,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner. Drama Western bounty hunter hero plantation society friendship friends revenge rivalry rescue shootout racism danger dentist django dual role aftercreditsstinger odd couple black slave deadly chases and races 19th century Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington Samuel L. Jackson Quentin Tarantino"
72976,Lincoln,History Drama,2012,36.307296,,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come. History Drama usa president speech battlefield family conflict mourning american civil war cultural conflict based on true events battle of gettysburg secession presidential cabinet gettysburg address conflagration ethical dilemma emancipation abraham lincoln Daniel Day-Lewis Sally Field David Strathairn Joseph Gordon-Levitt James Spader Steven Spielberg"
250066,American Heist,Action,2014,11.431434,,"Two brothers, both with troubled paths, find themselves in the middle of one last bank job. Action brother brother relationship robbery bank Hayden Christensen Adrien Brody Jordana Brewster Akon Laura Cayouette Sarik Andreasyan"
77156,Alien Zone,Horror Action Thriller Science Fiction,1978,0.000372,,"A man who is having an affair with a married woman is dropped off on the wrong street when going back to his hotel. He takes refuge out of the rain when an old man invites him in. He turns out to be a mortician, who tells him the stories of the people who have wound up in his establishment over the course of four stories. Horror Action Thriller Science Fiction  John Ericson Ivor Francis Judith Novgrod Burr DeBenning Charles Aidman Sharron Miller"
